=== 节点 (Nodes) ===
id,type,name,category,region,platform,heat_score,sentiment,velocity,keywords
topic_00115,topic,巴以冲突升级国际关注,国际,CN,腾讯新闻,95.0,positive,stable,"热点|热门"
topic_00117,topic,英国脱欧影响持续,国际,UK,BBC新闻,95.0,positive,falling,"热点|热门"
topic_00108,topic,中国泳坛新星崛起,体育,JP,Yahoo!知恵袋,94.7,positive,falling,"热点|热门"
topic_00004,topic,英伟达发布新一代GPU，AI性能翻倍,科技,CN,哔哩哔哩,94.3,positive,rising,"热点|热门"
topic_00025,topic,百度文心一言升级4.0版本,科技,US,Product Hunt,93.9,positive,rising,"热点|热门"
topic_00003,topic,苹果发布Vision Pro，开启空间计算时代,科技,US,Twitch,93.8,negative,falling,"热点|热门"
topic_00080,topic,某电视剧收视率破纪录,娱乐,EU,世界报,93.8,positive,rising,"热点|热门"
topic_00058,topic,黄金价格创历史新高,财经,US,纽约时报,93.4,neutral,rising,"热点|热门"
topic_00087,topic,漫威新片上映引发讨论,娱乐,US,Wired,92.8,negative,rising,"热点|热门"
topic_00119,topic,英国脱欧影响持续,国际,US,Ars Technica,92.3,neutral,rising,"热点|热门"
topic_00126,topic,印度G20峰会举办,国际,UK,卫报,92.2,neutral,rising,"热点|热门"
topic_00056,topic,人民币汇率企稳回升,财经,US,Twitter,91.6,negative,falling,"热点|热门"
topic_00098,topic,奥运会倒计时100天,体育,US,Product Hunt,90.9,positive,stable,"热点|热门"
topic_00082,topic,某综艺节目引发争议,娱乐,CN,极客公园,90.7,neutral,falling,"热点|热门"
topic_00071,topic,淄博烧烤火遍全国,社会,US,CNN,90.5,negative,stable,"热点|热门"
topic_00030,topic,Windows 12发布时间确定,科技,US,Product Hunt,90.3,neutral,stable,"热点|热门"
topic_00099,topic,奥运会倒计时100天,体育,UK,路透社,90.3,negative,stable,"热点|热门"
topic_00005,topic,英伟达发布新一代GPU，AI性能翻倍,科技,US,美联社,90.0,neutral,rising,"热点|热门"
topic_00027,topic,OpenAI发布GPT-5预览版,科技,US,GitHub趋势,89.3,negative,stable,"热点|热门"
topic_00069,topic,淄博烧烤火遍全国,社会,US,GitHub趋势,88.8,neutral,falling,"热点|热门"
topic_00044,topic,央行降准0.5个百分点释放流动性,财经,US,华尔街日报,87.5,neutral,stable,"热点|热门"
topic_00015,topic,小米汽车SU7正式发布,科技,CN,腾讯新闻,87.3,neutral,rising,"热点|热门"
topic_00047,topic,房地产市场政策松绑，一线城市成交回暖,财经,US,YouTube,85.5,negative,falling,"热点|热门"
topic_00129,topic,一带一路十周年成果丰硕,国际,EU,明镜,85.2,positive,rising,"热点|热门"
topic_00057,topic,黄金价格创历史新高,财经,US,TechCrunch,84.9,positive,stable,"热点|热门"
topic_00034,topic,iOS 18发布，全新AI功能,科技,CN,QQ音乐,84.6,neutral,rising,"热点|热门"
topic_00090,topic,某主播天价签约平台,娱乐,CN,小红书,84.6,negative,falling,"热点|热门"
topic_00074,topic,天水麻辣烫成新晋网红,社会,UK,BBC新闻,84.0,neutral,stable,"热点|热门"
topic_00053,topic,A股上市公司业绩预告大面积报喜,财经,CN,爱奇艺,83.8,neutral,stable,"热点|热门"
topic_00009,topic,SpaceX星舰发射成功,科技,US,美联社,83.5,positive,falling,"热点|热门"
topic_00045,topic,央行降准0.5个百分点释放流动性,财经,CN,CSDN,83.5,positive,falling,"热点|热门"
topic_00046,topic,央行降准0.5个百分点释放流动性,财经,US,纽约时报,83.5,negative,stable,"热点|热门"
topic_00017,topic,三星发布Galaxy S24系列,科技,US,TikTok,83.2,neutral,rising,"热点|热门"
topic_00077,topic,春节档电影票房突破80亿,娱乐,UK,BBC新闻,83.2,negative,falling,"热点|热门"
topic_00094,topic,中国队世界杯预选赛出线形势分析,体育,CN,凤凰新闻,82.4,positive,falling,"热点|热门"
topic_00092,topic,中国队世界杯预选赛出线形势分析,体育,CN,网易新闻,81.0,positive,rising,"热点|热门"
topic_00125,topic,印度G20峰会举办,国际,EU,明镜,81.0,neutral,stable,"热点|热门"
topic_00070,topic,淄博烧烤火遍全国,社会,US,Product Hunt,80.6,positive,rising,"热点|热门"
topic_00088,topic,漫威新片上映引发讨论,娱乐,CN,腾讯云+,80.6,negative,rising,"热点|热门"
topic_00118,topic,英国脱欧影响持续,国际,US,Medium,80.5,positive,falling,"热点|热门"
topic_00032,topic,Windows 12发布时间确定,科技,US,Medium,80.0,negative,falling,"热点|热门"
topic_00114,topic,俄乌冲突持续一年多,国际,CN,天猫,79.0,neutral,stable,"热点|热门"
topic_00037,topic,折叠屏手机成为新趋势,科技,CN,快手,78.7,positive,rising,"热点|热门"
topic_00109,topic,马拉松世界纪录被刷新,体育,CN,CSDN,78.7,neutral,falling,"热点|热门"
topic_00020,topic,大疆发布新一代Mavic无人机,科技,CN,知乎专题,78.5,neutral,falling,"热点|热门"
topic_00124,topic,韩国总统弹劾案发酵,国际,CN,凤凰新闻,78.0,neutral,stable,"热点|热门"
topic_00105,topic,某运动员打破世界纪录,体育,CN,创见,77.9,neutral,stable,"热点|热门"
topic_00111,topic,中美高层会晤引关注,国际,CN,掘金,77.7,negative,stable,"热点|热门"
topic_00065,topic,某地发生地震救援进行中,社会,US,Hacker News,77.1,positive,rising,"热点|热门"
topic_00040,topic,A股放量突破3000点，市场情绪高涨,财经,JP,Yahoo!知恵袋,76.6,positive,falling,"热点|热门"
category_000,category,国际,,,,,,,""
category_001,category,财经,,,,,,,""
category_002,category,体育,,,,,,,""
category_003,category,娱乐,,,,,,,""
category_004,category,科技,,,,,,,""
category_005,category,社会,,,,,,,""
keyword_000,keyword,热点,,,,,,,""
keyword_001,keyword,热门,,,,,,,""
region_000,region,英国,,,,,,,""
region_001,region,中国,,,,,,,""
region_002,region,日本,,,,,,,""
region_003,region,欧洲,,,,,,,""
region_004,region,美国,,,,,,,""
platform_000,platform,路透社,,,,,,,""
platform_001,platform,快手,,,,,,,""
platform_002,platform,Ars Technica,,,,,,,""
platform_003,platform,明镜,,,,,,,""
platform_004,platform,网易新闻,,,,,,,""
platform_005,platform,天猫,,,,,,,""
platform_006,platform,CNN,,,,,,,""
platform_007,platform,世界报,,,,,,,""
platform_008,platform,凤凰新闻,,,,,,,""
platform_009,platform,卫报,,,,,,,""
platform_010,platform,CSDN,,,,,,,""
platform_011,platform,QQ音乐,,,,,,,""
platform_012,platform,Product Hunt,,,,,,,""
platform_013,platform,Product Hunt,,,,,,,""
platform_014,platform,创见,,,,,,,""
platform_015,platform,Hacker News,,,,,,,""
platform_016,platform,纽约时报,,,,,,,""
platform_017,platform,BBC新闻,,,,,,,""
platform_018,platform,TechCrunch,,,,,,,""
platform_019,platform,小红书,,,,,,,""
platform_020,platform,哔哩哔哩,,,,,,,""
platform_021,platform,腾讯云+,,,,,,,""
platform_022,platform,爱奇艺,,,,,,,""
platform_023,platform,腾讯新闻,,,,,,,""
platform_024,platform,Yahoo!知恵袋,,,,,,,""
platform_025,platform,美联社,,,,,,,""
platform_026,platform,Medium,,,,,,,""
